# Real monthly NDVI from NASA MOD13Q1 250m 16-day via ORNL DAAC (no key).
# Ahmedabad, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,ndvi
8742cc680ffffff,23.11702,72.64707,0,0.3538
8742cc680ffffff,23.11702,72.64707,1,0.3295
8742cc680ffffff,23.11702,72.64707,2,0.3583
8742cc680ffffff,23.11702,72.64707,3,0.3355
8742cc680ffffff,23.11702,72.64707,4,0.3518
8742cc680ffffff,23.11702,72.64707,5,0.4339
8742cc680ffffff,23.11702,72.64707,6,0.161
8742cc680ffffff,23.11702,72.64707,7,0.4448
8742cc680ffffff,23.11702,72.64707,8,0.525
8742cc680ffffff,23.11702,72.64707,9,0.5026
8742cc680ffffff,23.11702,72.64707,10,0.4348
8742cc680ffffff,23.11702,72.64707,11,0.4586
8742cc680ffffff,23.11702,72.64707,12,0.4212
8742cc680ffffff,23.11702,72.64707,13,0.373
8742cc680ffffff,23.11702,72.64707,14,0.3543
8742cc680ffffff,23.11702,72.64707,15,0.3446
8742cc680ffffff,23.11702,72.64707,16,0.3427
8742cc680ffffff,23.11702,72.64707,17,0.3887
8742cc680ffffff,23.11702,72.64707,18,0.2505
8742cc680ffffff,23.11702,72.64707,19,0.5145
8742cc680ffffff,23.11702,72.64707,20,0.6051
8742cc680ffffff,23.11702,72.64707,21,0.5164
8742cc680ffffff,23.11702,72.64707,22,0.4746
8742cc680ffffff,23.11702,72.64707,23,0.4409
8742cc680ffffff,23.11702,72.64707,24,0.4113
8742cc680ffffff,23.11702,72.64707,25,0.3811
8742cc680ffffff,23.11702,72.64707,26,0.374
8742cc680ffffff,23.11702,72.64707,27,0.3504
8742cc680ffffff,23.11702,72.64707,28,0.4187
8742cc680ffffff,23.11702,72.64707,29,0.3539
8742cc680ffffff,23.11702,72.64707,30,0.2842
8742cc680ffffff,23.11702,72.64707,31,0.2865
8742cc680ffffff,23.11702,72.64707,32,0.5387
8742cc680ffffff,23.11702,72.64707,33,0.546
8742cc680ffffff,23.11702,72.64707,34,0.5061
8742cc680ffffff,23.11702,72.64707,35,0.456
8742cc680ffffff,23.11702,72.64707,36,0.4092
8742cc680ffffff,23.11702,72.64707,37,0.3696
8742cc680ffffff,23.11702,72.64707,38,0.3647
8742cc680ffffff,23.11702,72.64707,39,0.3398
8742cc680ffffff,23.11702,72.64707,40,0.3084
8742cc681ffffff,23.12618,72.66872,0,0.4483
8742cc681ffffff,23.12618,72.66872,1,0.4224
8742cc681ffffff,23.12618,72.66872,2,0.4026
8742cc681ffffff,23.12618,72.66872,3,0.3826
8742cc681ffffff,23.12618,72.66872,4,0.3849
8742cc681ffffff,23.12618,72.66872,5,0.3928
8742cc681ffffff,23.12618,72.66872,6,0.2223
8742cc681ffffff,23.12618,72.66872,7,0.5304
8742cc681ffffff,23.12618,72.66872,8,0.5542
8742cc681ffffff,23.12618,72.66872,9,0.5005
8742cc681ffffff,23.12618,72.66872,10,0.4227
8742cc681ffffff,23.12618,72.66872,11,0.4518
8742cc681ffffff,23.12618,72.66872,12,0.4632
8742cc681ffffff,23.12618,72.66872,13,0.4171
8742cc681ffffff,23.12618,72.66872,14,0.3655
8742cc681ffffff,23.12618,72.66872,15,0.3635
8742cc681ffffff,23.12618,72.66872,16,0.3494
8742cc681ffffff,23.12618,72.66872,17,0.3698
8742cc681ffffff,23.12618,72.66872,18,0.3826
8742cc681ffffff,23.12618,72.66872,19,0.4838
8742cc681ffffff,23.12618,72.66872,20,0.6246
8742cc681ffffff,23.12618,72.66872,21,0.5233
8742cc681ffffff,23.12618,72.66872,22,0.4594
8742cc681ffffff,23.12618,72.66872,23,0.434
8742cc681ffffff,23.12618,72.66872,24,0.4447
8742cc681ffffff,23.12618,72.66872,25,0.4305
8742cc681ffffff,23.12618,72.66872,26,0.3897
8742cc681ffffff,23.12618,72.66872,27,0.354
8742cc681ffffff,23.12618,72.66872,28,0.4166
8742cc681ffffff,23.12618,72.66872,29,0.3428
8742cc681ffffff,23.12618,72.66872,30,0.2972
8742cc681ffffff,23.12618,72.66872,31,0.3541
8742cc681ffffff,23.12618,72.66872,32,0.5795
8742cc681ffffff,23.12618,72.66872,33,0.5771
8742cc681ffffff,23.12618,72.66872,34,0.5234
8742cc681ffffff,23.12618,72.66872,35,0.4864
8742cc681ffffff,23.12618,72.66872,36,0.4851
8742cc681ffffff,23.12618,72.66872,37,0.4298
8742cc681ffffff,23.12618,72.66872,38,0.4021
8742cc681ffffff,23.12618,72.66872,39,0.3999
8742cc681ffffff,23.12618,72.66872,40,0.3409
8742cc682ffffff,23.09660,72.64551,0,0.3645
8742cc682ffffff,23.09660,72.64551,1,0.3402
8742cc682ffffff,23.09660,72.64551,2,0.3715
8742cc682ffffff,23.09660,72.64551,3,0.3589
8742cc682ffffff,23.09660,72.64551,4,0.3642
8742cc682ffffff,23.09660,72.64551,5,0.4431
8742cc682ffffff,23.09660,72.64551,6,0.1867
8742cc682ffffff,23.09660,72.64551,7,0.4483
8742cc682ffffff,23.09660,72.64551,8,0.5012
8742cc682ffffff,23.09660,72.64551,9,0.4718
8742cc682ffffff,23.09660,72.64551,10,0.4249
8742cc682ffffff,23.09660,72.64551,11,0.4562
8742cc682ffffff,23.09660,72.64551,12,0.4
8742cc682ffffff,23.09660,72.64551,13,0.3801
8742cc682ffffff,23.09660,72.64551,14,0.3832
8742cc682ffffff,23.09660,72.64551,15,0.362
8742cc682ffffff,23.09660,72.64551,16,0.3775
8742cc682ffffff,23.09660,72.64551,17,0.3628
8742cc682ffffff,23.09660,72.64551,18,0.2724
8742cc682ffffff,23.09660,72.64551,19,0.5266
8742cc682ffffff,23.09660,72.64551,20,0.5224
8742cc682ffffff,23.09660,72.64551,21,0.471
8742cc682ffffff,23.09660,72.64551,22,0.4315
8742cc682ffffff,23.09660,72.64551,23,0.416
8742cc682ffffff,23.09660,72.64551,24,0.3793
8742cc682ffffff,23.09660,72.64551,25,0.3671
8742cc682ffffff,23.09660,72.64551,26,0.3605
8742cc682ffffff,23.09660,72.64551,27,0.3538
8742cc682ffffff,23.09660,72.64551,28,0.4145
8742cc682ffffff,23.09660,72.64551,29,0.3709
8742cc682ffffff,23.09660,72.64551,30,0.317
8742cc682ffffff,23.09660,72.64551,31,0.2731
8742cc682ffffff,23.09660,72.64551,32,0.5123
8742cc682ffffff,23.09660,72.64551,33,0.5074
8742cc682ffffff,23.09660,72.64551,34,0.4613
8742cc682ffffff,23.09660,72.64551,35,0.4154
8742cc682ffffff,23.09660,72.64551,36,0.3444
8742cc682ffffff,23.09660,72.64551,37,0.3175
8742cc682ffffff,23.09660,72.64551,38,0.3346
8742cc682ffffff,23.09660,72.64551,39,0.3238
8742cc682ffffff,23.09660,72.64551,40,0.3088
8742cc683ffffff,23.10577,72.66715,0,0.263
8742cc683ffffff,23.10577,72.66715,1,0.2365
8742cc683ffffff,23.10577,72.66715,2,0.2675
8742cc683ffffff,23.10577,72.66715,3,0.2567
8742cc683ffffff,23.10577,72.66715,4,0.2429
8742cc683ffffff,23.10577,72.66715,5,0.3087
8742cc683ffffff,23.10577,72.66715,6,0.1635
8742cc683ffffff,23.10577,72.66715,7,0.3475
