# Sentinel-2 L2A 10 m NDVI via AWS Earth Search STAC (no key).
# scene S2A_42QZL_20260607_0_L2A date 2026-06-07 cloud 3.9%. SNAPSHOT of one scene, not a composite.
zone,lat,lon,month,ndvi
8742cc6b2ffffff,23.08950,72.58216,0,0.1605
8742cea5bffffff,22.92020,72.69473,0,0.2990
8742cea09ffffff,22.92641,72.56989,0,0.1886
8742ceb60ffffff,23.09565,72.45699,0,0.2746
8742cea6affffff,23.00377,72.65935,0,0.1244
8742cc792ffffff,23.12526,72.48011,0,0.2490
8742ceb4affffff,23.03953,72.55747,0,0.2091
8742cea4cffffff,22.99254,72.67940,0,0.2263
8742cc6a3ffffff,23.14869,72.62853,0,0.2647
8742cea45ffffff,22.99462,72.63774,0,0.0984
8742cc69cffffff,23.08535,72.66559,0,0.1658
8742ceb51ffffff,23.01201,72.49267,0,0.2882
8742ceb59ffffff,23.01913,72.55595,0,0.1831
8742cea54ffffff,22.93557,72.59147,0,0.1987
8742ceb68ffffff,23.10280,72.52034,0,0.2466
8742cc694ffffff,23.07827,72.60225,0,0.2502
8742cea63ffffff,23.00584,72.61768,0,0.1333
8742cea72ffffff,22.94678,72.57142,0,0.2018
8742cc686ffffff,23.10785,72.62543,0,0.2734
8742ceb42ffffff,23.03240,72.49418,0,0.2746
8742ceb43ffffff,23.04158,72.51578,0,0.2198
8742cc79affffff,23.13240,72.54349,0,0.2297
8742cc695ffffff,23.08743,72.62388,0,0.2095
8742cc685ffffff,23.13744,72.64863,0,0.2803
8742cea2effffff,22.95087,72.48815,0,0.1619
8742ceb52ffffff,22.98245,72.46958,0,0.2538
8742ceb61ffffff,23.10484,72.47860,0,0.2057
8742cc6b3ffffff,23.09868,72.60379,0,0.1900
8742cea5cffffff,22.94264,72.65468,0,0.2618
8742cea6bffffff,23.01292,72.68096,0,0.1809
8742cea28ffffff,22.96004,72.50972,0,0.2208
8742cc793ffffff,23.13445,72.50174,0,0.2586
8742cc68effffff,23.11493,72.68880,0,0.2463
8742ceb4bffffff,23.04870,72.57909,0,0.1817
8742cea46ffffff,22.96509,72.61459,0,0.1136
8742cea71ffffff,22.97631,72.59454,0,0.0870
8742cc69dffffff,23.09451,72.68723,0,0.2070
8742ceb5affffff,22.98958,72.53283,0,0.1186
8742cea55ffffff,22.94472,72.61305,0,0.1684
8742ceb69ffffff,23.11198,72.54196,0,0.2117
8742cea64ffffff,23.02830,72.57755,0,0.1480
8742cea73ffffff,22.95593,72.59300,0,0.1523
8742cea21ffffff,22.96207,72.46808,0,0.2183
8742cea62ffffff,22.99669,72.59608,0,0.1254
8742ceb44ffffff,23.06402,72.47559,0,0.2639
8742cc79bffffff,23.14158,72.56513,0,0.2251
8742cc696ffffff,23.05786,72.60070,0,0.2460
8742cea01ffffff,22.91930,72.50670,0,0.2760
8742ceb53ffffff,22.99162,72.49116,0,0.2122
8742cea4effffff,22.97216,72.67783,0,0.2442
8742ceb62ffffff,23.07524,72.45549,0,0.3296
8742cea53ffffff,22.91314,72.63154,0,0.2525
8742cc6aaffffff,23.14661,72.67028,0,0.2065
8742cc6b4ffffff,23.12116,72.56360,0,0.1841
8742cea5dffffff,22.95179,72.67627,0,0.2743
8742ceb58ffffff,23.00996,72.53435,0,0.1509
8742ceb71ffffff,23.05483,72.45399,0,0.3073
8742cea0bffffff,22.90605,72.56836,0,0.2010
8742cea6cffffff,23.03539,72.64085,0,0.0931
8742cea44ffffff,22.98546,72.61614,0,0.0975
8742cea29ffffff,22.96920,72.53131,0,0.2488
8742cc680ffffff,23.11702,72.64707,0,0.2302
8742ceb4cffffff,23.07115,72.53891,0,0.1128
8742ceb49ffffff,23.06910,72.58062,0,0.1472
8742cc69effffff,23.06495,72.66403,0,0.1062
8742ceb5bffffff,22.99875,72.55442,0,0.1488
8742cea56ffffff,22.91521,72.58993,0,0.1917
8742cc68cffffff,23.13535,72.69037,0,0.2368
8742ceb6affffff,23.08238,72.51882,0,0.2119
8742cea04ffffff,22.92134,72.46508,0,0.1092
8742cea65ffffff,23.03746,72.59916,0,0.1484
8742cea74ffffff,22.97836,72.55289,0,0.2428
8742ceb45ffffff,23.07320,72.49720,0,0.2478
8742cea40ffffff,22.97424,72.63619,0,0.1557
8742ceb54ffffff,23.01404,72.45099,0,0.1937
8742ceb63ffffff,23.08443,72.47710,0,0.2658
8742cc6b5ffffff,23.13034,72.58524,0,0.1851
8742cea5effffff,22.92228,72.65312,0,0.2711
8742cea0cffffff,22.92846,72.52827,0,0.2870
8742cea6dffffff,23.04455,72.66247,0,0.1047
8742cea2affffff,22.93967,72.50821,0,0.2063
8742cc681ffffff,23.12618,72.66872,0,0.2360
8742cc690ffffff,23.06703,72.62233,0,0.1842
8742ceb4dffffff,23.08033,72.56053,0,0.1118
8742cea48ffffff,22.98130,72.69944,0,0.2387
8742ceb5cffffff,23.02118,72.51427,0,0.2253
8742ceb6bffffff,23.09156,72.54044,0,0.1795
8742cea69ffffff,23.03331,72.68253,0,0.1172
8742cea05ffffff,22.93050,72.48664,0,0.1479
8742cea66ffffff,23.00791,72.57602,0,0.1632
8742cea75ffffff,22.98753,72.57448,0,0.1305
8742cea08ffffff,22.91726,72.54832,0,0.2038
8742ceb6effffff,23.09361,72.49871,0,0.2494
8742cea23ffffff,22.94170,72.46658,0,0.1905
8742ceb46ffffff,23.04362,72.47409,0,0.2200
8742cea5affffff,22.91106,72.67315,0,0.2634
8742cc6b1ffffff,23.11909,72.60533,0,0.2236
8742cea41ffffff,22.98339,72.65779,0,0.1889
8742cc698ffffff,23.07411,72.68566,0,0.1792
8742ceb55ffffff,23.02322,72.47258,0,0.1889
8742cea50ffffff,22.92435,72.61151,0,0.2235
8742cc6b6ffffff,23.10074,72.56206,0,0.1551
8742cea0dffffff,22.93762,72.54984,0,0.2806
8742cc6a2ffffff,23.13952,72.60688,0,0.2752
8742ceb73ffffff,23.03443,72.45249,0,0.2080
8742cea6effffff,23.01500,72.63929,0,0.1028
8742cc682ffffff,23.09660,72.64551,0,0.2006
8742ceb50ffffff,23.00283,72.47108,0,0.2687
8742cea2bffffff,22.94883,72.52979,0,0.3243
8742cc796ffffff,23.13649,72.45999,0,0.2088
8742cc691ffffff,23.07619,72.64396,0,0.1134
8742cc693ffffff,23.05579,72.64240,0,0.1056
8742ceaedffffff,22.90193,72.65157,0,0.2911
8742ceb4effffff,23.05075,72.53739,0,0.1774
8742ceb5dffffff,23.03036,72.53587,0,0.2298
8742ceb41ffffff,23.06198,72.51730,0,0.2023
8742cea58ffffff,22.93142,72.67471,0,0.3145
8742ceb6cffffff,23.11403,72.50023,0,0.2191
8742cea06ffffff,22.90098,72.46358,0,0.1497
8742cc684ffffff,23.12827,72.62698,0,0.2865
8742cea2dffffff,22.98041,72.51124,0,0.1357
8742cea76ffffff,22.95799,72.55137,0,0.2130
8742cc79effffff,23.14364,72.52338,0,0.2815
8742cea42ffffff,22.95387,72.63464,0,0.1734
8742cea51ffffff,22.93350,72.63309,0,0.2585
8742ceb65ffffff,23.11607,72.45849,0,0.2311
8742cea60ffffff,23.01707,72.59762,0,0.1227
8742cea0effffff,22.90810,72.52675,0,0.2607
8742cea2cffffff,22.97124,72.48966,0,0.2216
8742cc683ffffff,23.10577,72.66715,0,0.1691
8742ceb40ffffff,23.05280,72.49569,0,0.2468
8742cea70ffffff,22.96715,72.57295,0,0.1529
8742cc692ffffff,23.04663,72.62078,0,0.1377
8742cea4affffff,22.96093,72.69787,0,0.2753
8742ceb5effffff,23.00079,72.51275,0,0.1472
8742cc6b0ffffff,23.10992,72.58370,0,0.1684
8742cea59ffffff,22.94056,72.69630,0,0.2764
8742ceb6dffffff,23.12322,72.52186,0,0.2375
8742cea68ffffff,23.02416,72.66091,0,0.1065
8742cea61ffffff,23.02623,72.61923,0,0.1529
8742cc790ffffff,23.14569,72.48162,0,0.2623
8742ceb48ffffff,23.05993,72.55900,0,0.1358
8742cea43ffffff,22.96301,72.65623,0,0.2325
8742cea00ffffff,22.91014,72.48514,0,0.1967
8742cc69affffff,23.05370,72.68409,0,0.1734
8742cea52ffffff,22.90400,72.60996,0,0.1919
