# Sentinel-2 L2A 10 m NDVI via AWS Earth Search STAC (no key).
# scene S2A_42QZL_20260607_0_L2A date 2026-06-07 cloud 3.9%. SNAPSHOT of one scene, not a composite.
lat,lon,patch_area_m2
23.082888,72.592862,100
23.088381,72.593300,100
23.081788,72.593613,100
23.085547,72.590982,100
23.086974,72.591703,100
23.086882,72.591798,100
23.081786,72.593710,100
23.098083,72.591121,100
23.080969,72.570092,100
23.082884,72.593057,100
23.085404,72.593319,100
23.086211,72.589537,100
23.085268,72.591365,100
23.089280,72.593422,100
23.088473,72.593205,100
22.926405,72.689707,100
22.926495,72.689710,100
22.926314,72.689705,100
22.926646,72.687085,100
22.926402,72.689805,100
22.916284,72.698197,100
22.927756,72.693639,100
22.923287,72.691863,100
22.916282,72.698294,100
22.925181,72.691914,100
22.920984,72.693942,100
22.916327,72.700243,100
22.916192,72.698292,100
22.916194,72.698194,100
22.916234,72.700338,100
22.926285,72.556768,100
22.934547,72.558445,100
22.926287,72.556671,100
22.932022,72.558379,100
22.925920,72.556953,100
22.932018,72.558574,100
22.931534,72.560022,100
22.926377,72.556673,100
22.932020,72.558476,100
22.935138,72.556220,100
22.926375,72.556770,100
22.935136,72.556318,100
22.934549,72.558348,100
22.932016,72.558671,100
22.936759,72.556360,100
23.104656,72.470853,100
23.103228,72.470133,100
23.104950,72.469787,100
23.102872,72.469929,100
23.104746,72.470855,100
23.104948,72.469885,100
23.103428,72.465164,100
23.101032,72.467444,100
23.104070,72.468789,100
23.101981,72.448840,100
23.103426,72.465262,100
23.105044,72.469595,100
23.101216,72.467253,100
23.101034,72.467346,100
23.103896,72.464396,100
23.013064,72.655910,100
23.006359,72.668884,100
23.010064,72.649105,100
23.002766,72.652612,100
23.011635,72.655287,100
23.005288,72.660573,100
22.994680,72.659020,100
22.994590,72.659017,100
23.005861,72.659224,100
23.002417,72.667706,100
23.005284,72.660767,100
23.002856,72.652614,100
23.011725,72.655289,100
23.003783,72.667158,100
23.002327,72.667703,100
23.115098,72.480095,100
23.114988,72.480970,100
23.114742,72.475794,100
23.114990,72.480872,100
23.114787,72.473747,100
23.116425,72.473106,100
23.121264,72.474597,100
23.114888,72.473262,100
23.114877,72.473749,100
23.130160,72.472095,100
23.128971,72.472844,100
23.121772,72.471976,100
23.130162,72.471997,100
23.130014,72.470530,100
23.130197,72.470437,100
23.040330,72.564048,100
23.040238,72.564143,100
23.032376,72.556723,100
23.040148,72.564141,100
23.033573,72.559679,100
23.044574,72.555874,100
23.032893,72.557809,100
23.033480,72.559774,100
23.029764,72.556557,100
23.042423,72.551236,100
23.032798,72.558001,100
23.032372,72.556918,100
23.029948,72.548374,100
23.032891,72.557906,100
23.029775,72.556070,100
23.002635,72.673850,100
23.002417,72.667706,100
23.002327,72.667703,100
23.002382,72.676962,100
23.002762,72.668397,100
23.001828,72.673634,100
22.999219,72.665573,100
23.002360,72.670140,100
23.002507,72.667708,100
23.002631,72.674045,100
23.001743,72.669539,100
23.002545,72.673848,100
23.002237,72.667701,100
23.001824,72.673828,100
23.002038,72.672373,100
23.140344,72.636435,100
23.140253,72.636432,100
23.140481,72.630488,100
23.140303,72.630386,100
23.146517,72.638650,100
23.141741,72.638423,100
23.140341,72.636532,100
23.138736,72.631807,100
23.140145,72.625505,100
23.146697,72.638655,100
23.149505,72.630341,100
23.139852,72.630374,100
23.141475,72.638221,100
23.145218,72.636274,100
23.140140,72.625699,100
23.001935,72.637778,100
23.005028,72.644487,100
23.004547,72.634048,100
23.001660,72.637966,100
23.004760,72.644383,100
23.001625,72.643421,100
23.002753,72.633610,100
22.998866,72.637891,100
22.995059,72.638665,100
23.001121,72.649644,100
22.997531,72.637075,100
22.994969,72.638663,100
23.001294,72.649941,100
23.000680,72.637452,100
23.004595,72.635901,100
23.087194,72.672248,100
23.087284,72.672250,100
23.087208,72.671663,100
23.087198,72.672053,100
23.087104,72.672245,100
23.087189,72.672443,100
23.087117,72.671661,100
23.090785,72.676831,100
23.093469,72.662278,100
23.093560,72.662280,100
23.090970,72.676641,100
23.087372,72.672350,100
23.091320,72.677138,100
23.090695,72.676828,100
23.090781,72.677025,100
23.005916,72.501357,100
23.010110,72.478952,100
23.019516,72.502391,100
23.002941,72.501280,100
23.010382,72.478862,100
23.013882,72.479731,100
23.010292,72.478859,100
23.014800,72.478975,100
23.010200,72.478954,100
23.010112,72.478855,100
23.010202,72.478857,100
23.010378,72.479057,100
23.010380,72.478959,100
23.010472,72.478864,100
23.010290,72.478957,100
23.024122,72.542666,100
23.025461,72.559368,100
23.026268,72.543502,100
23.008687,72.543042,100
23.028836,72.569691,100
23.019578,72.568180,100
23.026899,72.543519,100
23.024396,72.558560,100
23.027655,72.558061,100
23.010142,72.554580,100
23.021694,72.542310,100
23.020313,72.559622,100
23.019534,72.558140,100
23.029660,72.557139,100
23.028065,72.543841,100
22.930619,72.604508,100
22.925620,72.594247,100
22.925622,72.594149,100
22.925526,72.594439,100
22.925625,72.594052,100
22.944905,72.587159,100
22.925985,72.594062,100
22.945961,72.584362,100
22.925884,72.594546,100
22.946051,72.584364,100
22.944996,72.587161,100
22.925618,72.594344,100
22.925523,72.594536,100
22.944723,72.587251,100
22.925528,72.594342,100
23.109479,72.525887,100
23.109679,72.525014,100
23.109206,72.525977,100
23.109820,72.526773,100
23.109503,72.524814,100
23.109584,72.525207,100
23.095424,72.533126,100
23.095514,72.533128,100
23.101629,72.509785,100
23.105608,72.533587,100
23.107447,72.523980,100
23.108934,72.526067,100
23.107910,72.523407,100
23.096150,72.532950,100
23.101626,72.509883,100
23.082888,72.592862,100
23.088381,72.593300,100
23.081788,72.593613,100
23.085547,72.590982,100
23.086974,72.591703,100
23.086882,72.591798,100
23.068893,72.597364,100
23.081786,72.593710,100
23.082884,72.593057,100
23.085404,72.593319,100
23.086211,72.589537,100
23.085268,72.591365,100
23.088473,72.593205,100
23.074768,72.588941,100
23.068986,72.597269,100
23.012547,72.619547,100
23.012725,72.619650,100
23.012721,72.619844,100
23.012457,72.619545,100
