# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Ahmedabad. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
8742cc680ffffff,23.11702,72.64707,74.0,335.0,346.5,319.0,95.5,141.0
8742cc681ffffff,23.12618,72.66872,74.0,300.0,333.5,366.5,99.5,145.0
8742cc682ffffff,23.0966,72.64551,73.0,339.0,313.0,348.5,122.5,146.5
8742cc683ffffff,23.10577,72.66715,74.0,295.0,335.5,369.5,103.5,146.0
8742cc684ffffff,23.12827,72.62698,74.0,320.5,344.0,335.0,91.5,136.5
8742cc685ffffff,23.13744,72.64863,73.0,335.0,336.0,329.0,114.0,152.5
8742cc686ffffff,23.10785,72.62543,74.5,289.5,355.5,354.5,107.0,148.0
8742cc68cffffff,23.13535,72.69037,75.0,305.0,343.0,352.0,93.5,147.0
8742cc68effffff,23.11493,72.6888,74.0,306.5,331.0,362.5,103.5,140.5
8742cc690ffffff,23.06703,72.62233,72.0,309.5,353.0,337.5,95.5,153.5
8742cc691ffffff,23.07619,72.64396,74.0,314.0,347.0,339.5,111.5,136.0
8742cc694ffffff,23.07827,72.60225,73.0,310.5,367.5,322.0,120.5,151.0
8742cc695ffffff,23.08743,72.62388,75.0,305.5,352.0,342.5,106.5,151.5
8742cc696ffffff,23.05786,72.6007,72.0,310.5,355.0,334.0,133.0,153.5
8742cc698ffffff,23.07411,72.68566,75.0,294.0,344.0,361.5,97.5,147.0
8742cc69affffff,23.0537,72.68409,74.5,315.5,344.0,340.0,105.0,144.0
8742cc69dffffff,23.09451,72.68723,73.5,286.5,346.0,367.5,110.5,145.0
8742cc69effffff,23.06495,72.66403,74.0,308.0,343.5,348.5,109.5,150.0
8742cc6a2ffffff,23.13952,72.60688,74.5,333.0,339.5,328.0,92.0,141.0
8742cc6a3ffffff,23.14869,72.62853,75.0,311.0,333.5,356.5,98.0,149.0
8742cc6aaffffff,23.14661,72.67028,75.0,327.0,349.5,324.0,99.5,141.0
8742cc6b0ffffff,23.10992,72.5837,74.0,317.0,338.0,345.0,112.5,143.5
8742cc6b1ffffff,23.11909,72.60533,74.0,320.5,345.0,334.5,91.5,145.5
8742cc6b3ffffff,23.09868,72.60379,74.0,304.0,345.5,351.0,96.0,144.5
8742cc6b4ffffff,23.12116,72.5636,75.0,323.5,357.0,319.5,100.5,146.0
8742cc6b5ffffff,23.13034,72.58524,74.0,320.5,346.0,333.0,92.5,144.5
8742cc6b6ffffff,23.10074,72.56206,74.0,322.0,354.0,324.0,99.0,142.0
8742cc790ffffff,23.14569,72.48162,74.0,300.5,361.5,338.0,113.0,157.5
8742cc792ffffff,23.12526,72.48011,73.0,315.5,372.5,312.0,105.0,136.5
8742cc793ffffff,23.13445,72.50174,73.5,315.0,379.0,306.0,103.0,145.0
8742cc796ffffff,23.13649,72.45999,74.0,330.5,335.0,334.5,94.5,147.0
8742cc79affffff,23.1324,72.54349,75.0,301.5,356.0,342.5,99.5,149.0
8742cc79bffffff,23.14158,72.56513,75.0,294.0,344.0,361.5,104.0,143.5
8742cc79effffff,23.14364,72.52338,74.0,317.0,339.0,344.0,105.0,146.5
8742cea00ffffff,22.91014,72.48514,73.0,305.5,334.5,360.0,109.5,131.0
8742cea01ffffff,22.9193,72.5067,73.0,308.5,337.5,354.0,138.0,140.0
8742cea04ffffff,22.92134,72.46508,73.0,309.0,349.0,342.0,109.0,144.0
8742cea05ffffff,22.9305,72.48664,74.0,298.5,353.5,348.5,106.5,130.5
8742cea06ffffff,22.90098,72.46358,75.0,296.0,347.0,357.0,133.5,124.5
8742cea08ffffff,22.91726,72.54832,74.0,307.0,350.5,343.0,137.0,130.5
8742cea09ffffff,22.92641,72.56989,74.0,303.0,360.0,337.0,102.0,144.0
8742cea0bffffff,22.90605,72.56836,74.0,296.0,367.5,336.5,101.0,133.0
8742cea0cffffff,22.92846,72.52827,75.0,325.0,318.5,356.5,109.0,137.5
8742cea0dffffff,22.93762,72.54984,74.0,300.0,357.0,343.0,112.5,153.0
