# INERT PLACEHOLDER — NOT real data. No free historical traffic source exists.
# Flat value on every cell/month; MCDA traffic weight is set to 0 so this
# NEVER influences any ranking. Present only to keep the 3-stream shape.
zone,lat,lon,month,traffic
8742cc680ffffff,23.11702,72.64707,0,50.0
8742cc680ffffff,23.11702,72.64707,1,50.0
8742cc680ffffff,23.11702,72.64707,2,50.0
8742cc680ffffff,23.11702,72.64707,3,50.0
8742cc680ffffff,23.11702,72.64707,4,50.0
8742cc680ffffff,23.11702,72.64707,5,50.0
8742cc680ffffff,23.11702,72.64707,6,50.0
8742cc680ffffff,23.11702,72.64707,7,50.0
8742cc680ffffff,23.11702,72.64707,8,50.0
8742cc680ffffff,23.11702,72.64707,9,50.0
8742cc680ffffff,23.11702,72.64707,10,50.0
8742cc680ffffff,23.11702,72.64707,11,50.0
8742cc680ffffff,23.11702,72.64707,12,50.0
8742cc680ffffff,23.11702,72.64707,13,50.0
8742cc680ffffff,23.11702,72.64707,14,50.0
8742cc680ffffff,23.11702,72.64707,15,50.0
8742cc680ffffff,23.11702,72.64707,16,50.0
8742cc680ffffff,23.11702,72.64707,17,50.0
8742cc680ffffff,23.11702,72.64707,18,50.0
8742cc680ffffff,23.11702,72.64707,19,50.0
8742cc680ffffff,23.11702,72.64707,20,50.0
8742cc680ffffff,23.11702,72.64707,21,50.0
8742cc680ffffff,23.11702,72.64707,22,50.0
8742cc680ffffff,23.11702,72.64707,23,50.0
8742cc680ffffff,23.11702,72.64707,24,50.0
8742cc680ffffff,23.11702,72.64707,25,50.0
8742cc680ffffff,23.11702,72.64707,26,50.0
8742cc680ffffff,23.11702,72.64707,27,50.0
8742cc680ffffff,23.11702,72.64707,28,50.0
8742cc680ffffff,23.11702,72.64707,29,50.0
8742cc680ffffff,23.11702,72.64707,30,50.0
8742cc680ffffff,23.11702,72.64707,31,50.0
8742cc680ffffff,23.11702,72.64707,32,50.0
8742cc680ffffff,23.11702,72.64707,33,50.0
8742cc680ffffff,23.11702,72.64707,34,50.0
8742cc680ffffff,23.11702,72.64707,35,50.0
8742cc680ffffff,23.11702,72.64707,36,50.0
8742cc680ffffff,23.11702,72.64707,37,50.0
8742cc680ffffff,23.11702,72.64707,38,50.0
8742cc680ffffff,23.11702,72.64707,39,50.0
8742cc680ffffff,23.11702,72.64707,40,50.0
