# Real monthly US AQI from Open-Meteo Air-Quality archive (no key).
# Delhi, 2023-01..2026-06. zone = H3 res-7 cell id.
zone,lat,lon,month,aqi
873da1000ffffff,28.47188,77.19972,0,205.6
873da1000ffffff,28.47188,77.19972,1,169.2
873da1000ffffff,28.47188,77.19972,2,158.1
873da1000ffffff,28.47188,77.19972,3,130.9
873da1000ffffff,28.47188,77.19972,4,140.5
873da1000ffffff,28.47188,77.19972,5,125.9
873da1000ffffff,28.47188,77.19972,6,111.0
873da1000ffffff,28.47188,77.19972,7,154.4
873da1000ffffff,28.47188,77.19972,8,126.2
873da1000ffffff,28.47188,77.19972,9,138.6
873da1000ffffff,28.47188,77.19972,10,184.4
873da1000ffffff,28.47188,77.19972,11,189.6
873da1000ffffff,28.47188,77.19972,12,207.6
873da1000ffffff,28.47188,77.19972,13,151.1
873da1000ffffff,28.47188,77.19972,14,146.2
873da1000ffffff,28.47188,77.19972,15,145.9
873da1000ffffff,28.47188,77.19972,16,222.1
873da1000ffffff,28.47188,77.19972,17,250.3
873da1000ffffff,28.47188,77.19972,18,130.3
873da1000ffffff,28.47188,77.19972,19,100.3
873da1000ffffff,28.47188,77.19972,20,126.8
873da1000ffffff,28.47188,77.19972,21,158.7
873da1000ffffff,28.47188,77.19972,22,197.8
873da1000ffffff,28.47188,77.19972,23,185.2
873da1000ffffff,28.47188,77.19972,24,203.2
873da1000ffffff,28.47188,77.19972,25,160.1
873da1000ffffff,28.47188,77.19972,26,848.6
873da1000ffffff,28.47188,77.19972,27,843.7
873da1000ffffff,28.47188,77.19972,28,894.8
873da1000ffffff,28.47188,77.19972,29,530.9
873da1000ffffff,28.47188,77.19972,30,149.1
873da1000ffffff,28.47188,77.19972,31,269.0
873da1000ffffff,28.47188,77.19972,32,130.1
873da1000ffffff,28.47188,77.19972,33,165.1
873da1000ffffff,28.47188,77.19972,34,190.9
873da1000ffffff,28.47188,77.19972,35,210.2
873da1000ffffff,28.47188,77.19972,36,202.5
873da1000ffffff,28.47188,77.19972,37,172.7
873da1000ffffff,28.47188,77.19972,38,671.3
873da1000ffffff,28.47188,77.19972,39,798.9
873da1000ffffff,28.47188,77.19972,40,1050.4
873da1000ffffff,28.47188,77.19972,41,622.1
873da1001ffffff,28.48085,77.22367,0,205.6
873da1001ffffff,28.48085,77.22367,1,169.2
873da1001ffffff,28.48085,77.22367,2,158.1
873da1001ffffff,28.48085,77.22367,3,130.9
873da1001ffffff,28.48085,77.22367,4,140.5
873da1001ffffff,28.48085,77.22367,5,125.9
873da1001ffffff,28.48085,77.22367,6,111.0
873da1001ffffff,28.48085,77.22367,7,154.4
873da1001ffffff,28.48085,77.22367,8,126.2
873da1001ffffff,28.48085,77.22367,9,138.6
873da1001ffffff,28.48085,77.22367,10,184.4
873da1001ffffff,28.48085,77.22367,11,189.6
873da1001ffffff,28.48085,77.22367,12,207.6
873da1001ffffff,28.48085,77.22367,13,151.1
873da1001ffffff,28.48085,77.22367,14,146.2
873da1001ffffff,28.48085,77.22367,15,145.9
873da1001ffffff,28.48085,77.22367,16,222.1
873da1001ffffff,28.48085,77.22367,17,250.3
873da1001ffffff,28.48085,77.22367,18,130.3
873da1001ffffff,28.48085,77.22367,19,100.3
873da1001ffffff,28.48085,77.22367,20,126.8
873da1001ffffff,28.48085,77.22367,21,158.7
873da1001ffffff,28.48085,77.22367,22,197.8
873da1001ffffff,28.48085,77.22367,23,185.2
873da1001ffffff,28.48085,77.22367,24,203.2
873da1001ffffff,28.48085,77.22367,25,160.1
873da1001ffffff,28.48085,77.22367,26,848.6
873da1001ffffff,28.48085,77.22367,27,843.7
873da1001ffffff,28.48085,77.22367,28,894.8
873da1001ffffff,28.48085,77.22367,29,530.9
873da1001ffffff,28.48085,77.22367,30,149.1
