# Sentinel-2 L2A 10 m NDVI via AWS Earth Search STAC (no key).
# scene S2C_43RGM_20260712_0_L2A date 2026-07-12 cloud 0.1%. SNAPSHOT of one scene, not a composite.
zone,lat,lon,month,ndvi
873da1036ffffff,28.45767,77.10714,0,0.5212
873da1155ffffff,28.59336,77.19475,0,0.4071
873da18c1ffffff,28.72256,77.09997,0,0.3245
873da18c9ffffff,28.72779,77.16889,0,0.3165
873da115dffffff,28.59854,77.26353,0,0.2633
873da18d1ffffff,28.66997,77.06968,0,0.2840
873da114dffffff,28.65104,77.29392,0,0.2765
873da1100ffffff,28.56112,77.05406,0,0.2974
873da102effffff,28.51535,77.20605,0,0.3880
873da1ab2ffffff,28.66001,77.31794,0,0.1521
873da1165ffffff,28.69322,77.18658,0,0.4768
873da18d9ffffff,28.67522,77.13856,0,0.3375
873da1108ffffff,28.56638,77.12282,0,0.4018
873da116dffffff,28.69840,77.25547,0,0.1968
873da1110ffffff,28.50861,77.02388,0,0.3175
873da18e1ffffff,28.76992,77.06132,0,0.3720
873da1056ffffff,28.47326,77.31309,0,0.5687
873da1175ffffff,28.64067,77.15625,0,0.3663
873da1118ffffff,28.51388,77.09259,0,0.5310
873da1bb1ffffff,28.78038,77.19927,0,0.3796
873da1145ffffff,28.64587,77.22509,0,0.2398
873da1026ffffff,28.51013,77.13735,0,0.4197
873da18e9ffffff,28.77517,77.13030,0,0.2814
873da1b84ffffff,28.78938,77.22333,0,0.3124
873da1120ffffff,28.60838,77.01547,0,0.1456
873da1001ffffff,28.48085,77.22367,0,0.5065
873da18f1ffffff,28.71729,77.03104,0,0.2104
873da1b8cffffff,28.79455,77.29231,0,0.3669
873da1066ffffff,28.57298,77.30512,0,0.3214
873da1009ffffff,28.48603,77.29233,0,0.2105
873da1128ffffff,28.61366,77.08428,0,0.4427
873da1b94ffffff,28.73679,77.19292,0,0.3674
873da1b9cffffff,28.74197,77.26186,0,0.2434
873da1076ffffff,28.52053,77.27476,0,0.3325
873da1021ffffff,28.52811,77.18526,0,0.4247
873da1140ffffff,28.62410,77.22191,0,0.3756
873da1029ffffff,28.53330,77.25398,0,0.3123
873da1148ffffff,28.62927,77.29072,0,0.1739
873da1bb4ffffff,28.78418,77.15434,0,0.3654
873da11adffffff,28.48314,77.06553,0,0.4595
873da1031ffffff,28.47565,77.15500,0,0.5140
873da1150ffffff,28.57160,77.19158,0,0.3261
873da18c4ffffff,28.72632,77.05506,0,0.3455
873da1158ffffff,28.57679,77.26034,0,0.3268
873da18ccffffff,28.73157,77.12399,0,0.2162
873da1160ffffff,28.67144,77.18342,0,0.3683
873da1103ffffff,28.54838,77.07490,0,0.2545
873da18d4ffffff,28.67371,77.02481,0,0.1923
873da1168ffffff,28.67663,77.25228,0,0.2321
873da110bffffff,28.55362,77.14364,0,0.4543
873da18dcffffff,28.67898,77.09369,0,0.2687
873da1170ffffff,28.61890,77.15310,0,0.4461
873da1113ffffff,28.49587,77.04471,0,0.2889
873da18e4ffffff,28.77367,77.01637,0,0.3906
873da111bffffff,28.50114,77.11340,0,0.5102
873da18ecffffff,28.77894,77.08536,0,0.2906
