# Sentinel-2 L2A 10 m NDVI via AWS Earth Search STAC (no key).
# scene S2C_43RGM_20260712_0_L2A date 2026-07-12 cloud 0.1%. SNAPSHOT of one scene, not a composite.
lat,lon,patch_area_m2
28.467558,77.111952,100
28.466751,77.111630,100
28.467648,77.111954,100
28.467919,77.111959,100
28.466841,77.111631,100
28.466753,77.111528,100
28.466662,77.111526,100
28.466843,77.111529,100
28.467647,77.112056,100
28.468198,77.111454,100
28.467284,77.112151,100
28.467557,77.112054,100
28.467555,77.112156,100
28.467463,77.112257,100
28.466840,77.111734,100
28.588648,77.191653,100
28.588558,77.191651,100
28.588737,77.191757,100
28.592365,77.190605,100
28.604692,77.209367,100
28.592275,77.190603,100
28.604328,77.209563,100
28.604602,77.209365,100
28.604056,77.209660,100
28.604783,77.209369,100
28.604694,77.209264,100
28.604786,77.209164,100
28.604327,77.209666,100
28.588334,77.188784,100
28.604784,77.209266,100
28.725107,77.110149,100
28.727303,77.108248,100
28.725194,77.110355,100
28.727396,77.108045,100
28.728116,77.108162,100
28.727796,77.111329,100
28.731354,77.108841,100
28.729740,77.108194,100
28.725196,77.110253,100
28.730627,77.109133,100
28.728114,77.108264,100
28.733474,77.094347,100
28.727122,77.108244,100
28.733488,77.093426,100
28.728203,77.108368,100
28.716350,77.156236,100
28.737203,77.183690,100
28.737480,77.183287,100
28.736662,77.183679,100
28.737114,77.183586,100
28.737929,77.183398,100
28.737933,77.183194,100
28.737029,77.183277,100
28.736572,77.183677,100
28.737564,77.183698,100
28.737853,77.182578,100
28.737562,77.183800,100
28.737474,77.183696,100
28.738115,77.183095,100
28.737113,77.183689,100
28.606004,77.266547,100
28.606000,77.266751,100
28.605999,77.266854,100
28.605815,77.267054,100
28.605817,77.266952,100
28.605997,77.266956,100
28.605903,77.267158,100
28.605994,77.267160,100
28.606002,77.266649,100
28.605818,77.266850,100
28.605995,77.267058,100
28.605813,77.267156,100
28.605907,77.266954,100
28.605905,77.267056,100
28.605902,77.267261,100
28.675441,77.060041,100
28.677898,77.058657,100
28.674428,77.061351,100
28.675221,77.062595,100
28.664822,77.075895,100
28.674425,77.061556,100
28.674335,77.061554,100
28.674518,77.061353,100
28.676186,77.058521,100
28.675442,77.059939,100
28.676276,77.058523,100
28.676472,77.057503,100
28.664819,77.076100,100
28.674778,77.062074,100
28.661049,77.074798,100
28.658675,77.294582,100
28.658585,77.294580,100
28.658767,77.294482,100
28.658493,77.294680,100
28.658401,77.294781,100
28.658765,77.294584,100
28.658583,77.294682,100
28.658402,77.294678,100
28.658673,77.294684,100
28.658677,77.294480,100
28.658491,77.294783,100
28.653737,77.293145,100
28.658142,77.304697,100
28.658494,77.294578,100
28.660528,77.281018,100
28.570912,77.056672,100
28.570910,77.056774,100
28.549824,77.066788,100
28.549914,77.066790,100
28.566089,77.065266,100
28.566170,77.065881,100
28.566223,77.068335,100
28.565966,77.067410,100
28.565503,77.068218,100
28.549734,77.066786,100
28.565607,77.067301,100
28.565989,77.065877,100
28.565870,77.067817,100
28.566168,77.065983,100
28.565515,77.067401,100
28.514951,77.218219,100
28.514861,77.218217,100
28.523638,77.211147,100
28.514859,77.218319,100
28.514508,77.217699,100
28.513564,77.220233,100
28.515093,77.220571,100
28.523548,77.211145,100
28.523636,77.211249,100
28.514664,77.219234,100
28.515094,77.220469,100
28.515185,77.220471,100
28.514568,77.219539,100
28.514418,77.217697,100
28.514949,77.218321,100
28.658142,77.304697,100
28.662320,77.303050,100
28.662411,77.303052,100
28.669768,77.305463,100
28.670134,77.305164,100
28.669766,77.305565,100
28.659405,77.304725,100
28.664906,77.304845,100
28.669676,77.305563,100
28.661847,77.304369,100
28.670044,77.305162,100
28.658140,77.304799,100
28.670224,77.305166,100
28.658231,77.304801,100
28.658232,77.304699,100
28.700895,77.174749,100
28.700805,77.174747,100
28.700177,77.174529,100
28.700536,77.174639,100
28.700267,77.174531,100
28.700985,77.174751,100
28.700086,77.174528,100
28.699996,77.174526,100
28.690776,77.192344,100
28.701075,77.174753,100
28.690960,77.192144,100
28.690778,77.192242,100
28.691052,77.192043,100
28.690868,77.192244,100
28.691050,77.192146,100
28.673979,77.131120,100
28.677328,77.130471,100
28.674069,77.131122,100
28.673005,77.129975,100
28.675925,77.133615,100
28.663746,77.127741,100
28.672826,77.129869,100
28.675474,77.133606,100
28.675574,77.132994,100
28.674329,77.131843,100
28.674201,77.128464,100
28.674507,77.131949,100
28.673689,77.132342,100
28.673449,77.130393,100
28.676099,77.134028,100
28.557589,77.124887,100
28.556973,77.123852,100
28.556883,77.123851,100
28.556356,77.122920,100
28.556078,77.123426,100
28.555731,77.122499,100
28.556344,77.123738,100
28.557152,77.123958,100
28.556178,77.122815,100
28.555812,77.123114,100
28.556812,77.122623,100
28.556358,77.122818,100
28.557891,77.122849,100
28.556692,77.124562,100
28.556532,77.123230,100
28.688883,77.247252,100
28.688792,77.247250,100
28.708904,77.269377,100
28.689796,77.251979,100
28.692424,77.251319,100
28.708902,77.269479,100
28.708994,77.269378,100
28.690637,77.250257,100
28.690467,77.249640,100
28.690557,77.249642,100
28.690438,77.245955,100
28.690658,77.249030,100
28.693610,77.250525,100
28.692661,77.247947,100
28.690515,77.246776,100
28.511453,77.032327,100
28.510666,77.036705,100
28.509679,77.036277,100
28.509497,77.036376,100
28.497834,77.019809,100
28.511121,77.036407,100
28.509681,77.036175,100
28.508392,77.037887,100
28.510664,77.036807,100
28.511990,77.032644,100
28.509770,77.036279,100
28.498545,77.032591,100
28.509773,77.036075,100
28.509588,77.036378,100
28.514068,77.032480,100
28.762536,77.076290,100
28.772571,77.075055,100
28.777796,77.069731,100
28.777615,77.069727,100
28.773814,77.070471,100
28.762807,77.076296,100
28.762626,77.076292,100
28.776968,77.070738,100
28.776312,77.048707,100
28.777707,77.069627,100
28.773724,77.070470,100
28.777794,77.069833,100
28.777617,77.069625,100
28.771672,77.063056,100
28.762717,77.076294,100
28.648711,77.154134,100
28.648802,77.154136,100
28.648713,77.154032,100
28.649159,77.154348,100
28.649161,77.154246,100
28.648800,77.154239,100
28.648621,77.154133,100
28.649249,77.154350,100
28.648892,77.154138,100
28.645537,77.166446,100
28.649070,77.154244,100
28.648623,77.154030,100
28.648890,77.154240,100
28.648803,77.154034,100
28.649069,77.154346,100
28.523962,77.105618,100
28.523870,77.105718,100
28.523872,77.105616,100
28.510961,77.100251,100
28.510964,77.100047,100
28.508334,77.100914,100
28.510874,77.100045,100
28.510963,77.100149,100
28.510873,77.100148,100
28.523780,77.105716,100
28.510871,77.100250,100
28.523960,77.105720,100
28.511051,77.100253,100
28.525232,77.087661,100
28.508424,77.100916,100
28.769756,77.184880,100
28.769926,77.185498,100
28.769754,77.184982,100
28.769659,77.185288,100
28.769928,77.185396,100
28.769570,77.185183,100
28.769566,77.185491,100
28.769844,77.184984,100
28.769751,77.185187,100
28.769569,77.185286,100
28.769838,77.185394,100
28.769656,77.185492,100
28.769661,77.185185,100
28.769664,77.184981,100
28.770894,77.187054,100
28.634984,77.210922,100
28.634805,77.210816,100
28.634623,77.210914,100
28.635877,77.211452,100
28.636589,77.212080,100
28.635074,77.210923,100
28.634356,77.210704,100
28.634715,77.210814,100
28.634718,77.210609,100
28.634631,77.210403,100
28.635166,77.210823,100
28.634633,77.210301,100
28.635876,77.211554,100
28.634893,77.210920,100
28.635071,77.211128,100
28.519798,77.123822,100
28.519889,77.123824,100
28.520788,77.129767,100
28.521421,77.129678,100
28.519082,77.129222,100
28.519894,77.129238,100
28.521260,77.128449,100
28.520173,77.128733,100
28.521366,77.127429,100
28.508733,77.150364,100
28.519875,77.130464,100
28.518610,77.130541,100
28.517721,77.129706,100
28.520157,77.129754,100
28.521332,77.129574,100
28.776848,77.119178,100
28.777989,77.121249,100
28.776850,77.119075,100
28.778080,77.121148,100
28.778167,77.121355,100
28.777898,77.121247,100
28.778259,77.121254,100
28.777897,77.121349,100
28.777990,77.121146,100
28.776397,77.119168,100
28.778079,77.121251,100
28.777900,77.121145,100
28.776573,77.119479,100
28.776937,77.119282,100
28.776489,77.119068,100
28.783552,77.213127,100
28.791047,77.229161,100
28.783642,77.213129,100
28.791049,77.229059,100
28.791051,77.228956,100
28.791493,77.229478,100
28.791046,77.229264,100
28.791490,77.229683,100
28.782286,77.213305,100
28.783525,77.214765,100
28.788335,77.213023,100
28.790472,77.225769,100
28.783617,77.214665,100
28.783707,77.214667,100
28.784718,77.229948,100
28.600164,77.001314,100
28.600341,77.001522,100
28.600254,77.001316,100
28.603613,77.012116,100
28.599132,77.010088,100
28.618689,77.011687,100
28.599390,77.010911,100
28.599300,77.010909,100
28.599225,77.009885,100
28.616402,77.019824,100
28.604857,77.007334,100
28.608366,77.008014,100
28.611601,77.002860,100
28.599479,77.011014,100
28.614461,77.028990,100
28.490648,77.236604,100
28.473122,77.237971,100
28.487136,77.225194,100
28.475325,77.235669,100
28.475235,77.235667,100
28.490595,77.234356,100
28.475323,77.235771,100
28.486869,77.224984,100
28.474085,77.212156,100
28.471946,77.238150,100
28.486871,77.224882,100
28.486959,77.224986,100
28.487044,77.225295,100
28.486415,77.225179,100
28.487135,77.225296,100
28.712761,77.026586,100
28.714488,77.037776,100
28.714940,77.037683,100
28.706013,77.037305,100
28.722423,77.044072,100
28.722945,77.039374,100
28.716713,77.027789,100
28.712848,77.026793,100
28.709053,77.033168,100
28.709456,77.036348,100
28.705893,77.027273,100
28.714397,77.037775,100
28.719513,77.039614,100
28.717448,77.044896,100
28.717449,77.044794,100
28.796684,77.307125,100
28.796502,77.307223,100
28.796412,77.307221,100
28.796592,77.307225,100
28.796686,77.307023,100
28.796322,77.307219,100
28.796324,77.307117,100
28.796594,77.307123,100
28.796683,77.307227,100
28.796141,77.307216,100
28.796233,77.307115,100
28.796504,77.307121,100
28.796507,77.306916,100
28.796414,77.307119,100
28.796232,77.307218,100
28.579354,77.295311,100
28.577967,77.297325,100
28.579287,77.293980,100
28.579387,77.303999,100
28.579167,77.295715,100
28.578111,77.294159,100
28.578452,77.295291,100
28.578057,77.297327,100
28.579196,77.293978,100
28.578172,77.295898,100
28.579389,77.303897,100
28.575812,77.291350,100
28.579299,77.303895,100
28.577719,77.295991,100
28.579169,77.295613,100
28.475098,77.292644,100
28.475101,77.292439,100
28.475099,77.292541,100
28.474742,77.292329,100
28.474652,77.292328,100
28.483910,77.289055,100
28.492900,77.301709,100
28.484092,77.288957,100
28.483912,77.288953,100
28.478395,77.289753,100
28.474832,77.292331,100
28.475009,77.292539,100
28.475894,77.293580,100
28.483733,77.288847,100
28.483909,77.289158,100
28.623133,77.070063,100
28.622136,77.088042,100
28.623045,77.069959,100
28.623135,77.069961,100
28.623225,77.069963,100
28.618270,77.069457,100
28.617631,77.069955,100
28.622623,77.091529,100
28.621207,77.089762,100
28.622230,77.070148,100
28.621297,77.089764,100
28.622261,77.091624,100
28.622323,77.069945,100
28.622816,77.090714,100
28.621933,77.089470,100
28.736101,77.184896,100
28.735640,77.185501,100
28.734359,77.186600,100
28.734187,77.186084,100
28.735169,77.186719,100
28.734183,77.186289,100
28.736916,77.184708,100
28.735363,77.185904,100
28.736006,77.185201,100
28.734165,77.187415,100
28.735633,77.185910,100
28.736365,77.185311,100
28.734362,77.186395,100
28.735641,77.185398,100
28.736279,77.185002,100
28.749190,77.266664,100
28.749188,77.266766,100
28.739422,77.268091,100
28.745722,77.263620,100
28.739330,77.268191,100
28.749098,77.266764,100
28.739332,77.268089,100
28.739510,77.268195,100
28.739420,77.268193,100
28.739512,77.268093,100
28.749100,77.266662,100
28.745901,77.263726,100
28.745632,77.263618,100
28.734828,77.273008,100
28.739418,77.268296,100
28.519674,77.265515,100
28.519592,77.265002,100
28.519863,77.265008,100
28.519861,77.265110,100
28.519495,77.265409,100
28.519405,77.265407,100
28.519682,77.265004,100
28.519958,77.264703,100
28.519679,77.265208,100
28.519766,77.265414,100
28.519494,77.265511,100
28.519594,77.264900,100
28.520128,77.265320,100
28.519769,77.265210,100
28.519500,77.265102,100
28.528610,77.171405,100
28.528520,77.171404,100
28.538851,77.179892,100
28.528609,77.171508,100
28.528700,77.171407,100
28.529429,77.171013,100
28.538657,77.180705,100
28.528791,77.171409,100
28.522634,77.189570,100
28.522724,77.189572,100
28.522726,77.189470,100
28.522513,77.174652,100
28.538941,77.179894,100
28.538218,77.179981,100
28.528518,77.171506,100
28.629612,77.208355,100
28.629433,77.208249,100
28.626198,77.207465,100
28.631327,77.208288,100
28.631057,77.208283,100
28.632221,77.208818,100
28.629428,77.208555,100
28.629523,77.208250,100
28.629345,77.208144,100
28.631955,77.208506,100
28.631417,77.208290,100
28.631508,77.208292,100
28.631159,77.207569,100
28.631598,77.208294,100
28.631326,77.208390,100
28.525936,77.268713,100
28.525935,77.268816,100
28.525938,77.268611,100
28.525846,77.268711,100
28.525845,77.268814,100
28.525848,77.268609,100
28.525940,77.268509,100
28.526025,77.268817,100
28.526027,77.268715,100
28.535785,77.251657,100
28.526030,77.268511,100
28.537054,77.251276,100
28.525850,77.268507,100
28.534961,77.252355,100
28.526028,77.268613,100
28.634586,77.283831,100
28.634676,77.283833,100
28.632176,77.298300,100
28.634588,77.283729,100
28.634678,77.283731,100
28.631374,77.297669,100
28.638789,77.302024,100
28.634584,77.283933,100
28.638879,77.302026,100
28.622342,77.282236,100
28.627472,77.299016,100
28.626312,77.303592,100
28.631284,77.297667,100
28.627951,77.302708,100
28.622510,77.299010,100
28.795687,77.154590,100
28.795508,77.154484,100
28.794965,77.154575,100
28.795142,77.154783,100
28.795506,77.154586,100
28.795236,77.154580,100
28.795413,77.154789,100
28.795326,77.154582,100
28.794601,77.154772,100
28.795237,77.154478,100
28.795505,77.154688,100
28.795685,77.154692,100
28.795688,77.154487,100
28.795324,77.154685,100
28.795675,77.155307,100
28.474205,77.078793,100
28.487807,77.050667,100
28.487716,77.050665,100
28.474115,77.078792,100
28.474295,77.078795,100
28.474386,77.078797,100
28.472035,77.079057,100
28.488065,77.051489,100
28.481170,77.077704,100
28.473603,77.076841,100
28.490678,77.051744,100
28.472031,77.079364,100
28.474387,77.078695,100
28.473575,77.078679,100
28.474204,77.078896,100
28.477616,77.160966,100
28.477277,77.165248,100
28.477275,77.165350,100
28.477367,77.165250,100
28.477274,77.165452,100
28.477187,77.165246,100
28.477185,77.165348,100
28.476186,77.165737,100
28.477366,77.165352,100
28.477183,77.165451,100
28.476098,77.165633,100
28.476188,77.165634,100
28.476277,77.165738,100
28.477279,77.165146,100
28.477364,77.165454,100
28.582520,77.185597,100
28.582709,77.185089,100
28.582619,77.185088,100
28.582525,77.185290,100
28.582985,77.184788,100
28.582801,77.184989,100
28.582891,77.184991,100
28.582616,77.185292,100
28.582529,77.185086,100
28.583047,77.186527,100
28.582597,77.186416,100
28.582427,77.185799,100
28.583073,77.184892,100
28.582894,77.184787,100
28.582040,77.181805,100
28.717905,77.062306,100
28.722828,77.053088,100
28.720963,77.062980,100
28.731866,77.069848,100
28.731865,77.069951,100
28.731955,77.069953,100
28.721232,77.063088,100
28.731956,77.069850,100
28.732045,77.069954,100
28.721053,77.062982,100
28.720868,77.063285,100
28.722738,77.053086,100
28.717583,77.065677,100
28.722735,77.053291,100
28.720873,77.062978,100
28.565287,77.251774,100
28.570237,77.247076,100
28.570242,77.246769,100
28.568605,77.247552,100
28.569238,77.247464,100
28.567967,77.247948,100
28.569146,77.247564,100
28.570147,77.247074,100
28.565913,77.252094,100
28.565660,77.251067,100
28.568787,77.247454,100
28.568969,77.247356,100
28.568149,77.247849,100
28.569237,77.247566,100
28.569693,77.247269,100
28.741649,77.119797,100
28.741738,77.119902,100
28.741652,77.119593,100
28.741736,77.120004,100
28.741651,77.119695,100
28.741388,77.119178,100
28.741562,77.119591,100
28.741478,77.119180,100
28.741564,77.119489,100
28.741828,77.119903,100
28.736983,77.118168,100
28.741742,77.119595,100
28.741826,77.120006,100
28.740956,77.117941,100
28.741654,77.119490,100
28.673036,77.184609,100
28.672861,77.184298,100
28.672772,77.184194,100
28.674397,77.184125,100
28.672952,77.184198,100
28.673126,77.184611,100
28.673041,77.184302,100
28.672862,77.184196,100
28.672864,77.184094,100
28.671929,77.186120,100
28.672491,77.184802,100
28.677475,77.183473,100
28.672946,77.184607,100
28.672762,77.184808,100
28.676480,77.183657,100
28.549824,77.066788,100
28.552078,77.078687,100
28.549914,77.066790,100
28.549734,77.066786,100
28.548754,77.065949,100
28.548755,77.065847,100
28.549916,77.066687,100
28.549643,77.066784,100
28.537717,77.073704,100
28.548664,77.065948,100
28.552169,77.078688,100
28.548925,77.066566,100
28.549645,77.066682,100
28.548665,77.065845,100
28.548757,77.065745,100
28.682408,77.034904,100
28.682136,77.035001,100
28.682498,77.034905,100
28.682318,77.034902,100
28.682587,77.035010,100
28.682497,77.035008,100
28.682071,77.039297,100
28.682226,77.035003,100
28.682224,77.035105,100
28.682229,77.034798,100
28.683261,77.038195,100
28.683181,77.037477,100
28.682229,77.010650,100
28.682406,77.035006,100
28.682591,77.034703,100
28.665613,77.252177,100
28.682171,77.243937,100
28.680959,77.246265,100
28.674112,77.240185,100
28.680961,77.246162,100
28.675476,77.261289,100
28.668631,77.249684,100
28.680957,77.246367,100
28.665522,77.252175,100
28.675477,77.261187,100
28.667331,77.241063,100
28.676082,77.257414,100
28.676080,77.257517,100
28.682079,77.244038,100
28.674844,77.261276,100
28.544040,77.137286,100
28.545657,77.143450,100
28.545747,77.143451,100
28.545567,77.143448,100
28.543135,77.143194,100
28.542125,77.138575,100
28.546346,77.151230,100
28.545568,77.143346,100
28.543138,77.142990,100
28.543136,77.143092,100
28.543832,77.139019,100
28.545655,77.143552,100
28.543494,77.137581,100
28.543320,77.142891,100
28.545659,77.143347,100
28.681966,77.105088,100
28.688028,77.080651,100
28.680613,77.105061,100
28.684227,77.104724,100
28.680877,77.105475,100
28.684728,77.089897,100
28.684019,77.089064,100
28.681081,77.103944,100
28.680715,77.098514,100
28.684512,77.103808,100
28.683352,77.102967,100
28.683634,77.102256,100
28.685925,77.082451,100
28.687145,77.079405,100
28.684602,77.103810,100
28.611549,77.158999,100
28.611456,77.159202,100
28.622880,77.144403,100
28.623062,77.144305,100
28.609151,77.167948,100
28.622704,77.144093,100
28.622702,77.144195,100
28.622886,77.143994,100
28.622971,77.144303,100
28.623063,77.144202,100
28.622970,77.144405,100
28.622878,77.144505,100
28.623424,77.144210,100
28.623242,77.144308,100
28.623058,77.144509,100
28.502959,77.045137,100
28.502858,77.045850,100
28.502951,77.045648,100
28.502768,77.045849,100
28.502869,77.045136,100
28.502950,77.045750,100
28.502771,77.045644,100
28.502681,77.045643,100
28.502948,77.045852,100
28.501936,77.047161,100
28.502863,77.045544,100
28.502861,77.045646,100
28.502396,77.046557,100
28.502679,77.045745,100
28.502860,77.045748,100
28.762751,77.014444,100
28.762636,77.003997,100
28.764587,77.012329,100
28.767744,77.006348,100
28.781007,77.006397,100
28.784925,77.022040,100
28.764586,77.012431,100
28.764769,77.012230,100
28.771742,77.004478,100
28.785071,77.024296,100
28.782506,77.008781,100
28.764584,77.012534,100
28.764495,77.012430,100
28.771652,77.004477,100
28.770988,77.006614,100
28.501201,77.118648,100
28.497150,77.112235,100
28.499179,77.115237,100
28.497297,77.114383,100
28.493599,77.114309,100
28.498836,77.114107,100
28.497387,77.114384,100
28.497886,77.111330,100
28.496963,77.112640,100
28.510961,77.100251,100
28.510964,77.100047,100
28.508334,77.100914,100
28.499285,77.114218,100
28.499287,77.114116,100
