# Real soil chemistry + texture from ISRIC SoilGrids v2.0 (250 m, no key).
# Delhi. zone = H3 res-7 cell id.
# Native SoilGrids scaling: phh2o = pH*10, sand/silt/clay = g/kg,
# soc = dg/kg, nitrogen = cg/kg. soil.py auto-unscales by magnitude.
zone,lat,lon,phh2o,sand,silt,clay,soc,nitrogen
873da1000ffffff,28.47188,77.19972,75.0,483.0,308.5,208.5,80.0,107.0
873da1001ffffff,28.48085,77.22367,69.0,434.0,336.0,231.0,98.0,107.0
873da1002ffffff,28.45015,77.19656,75.5,487.0,314.5,199.0,86.0,106.5
873da1003ffffff,28.45913,77.2205,75.0,425.0,333.5,240.5,80.5,108.0
873da1004ffffff,28.48463,77.17894,77.5,511.0,309.0,180.0,77.0,104.0
873da1005ffffff,28.49361,77.20289,76.5,468.5,322.5,209.0,77.5,101.0
873da1006ffffff,28.4629,77.17579,76.5,469.0,337.0,193.5,79.0,106.0
873da1008ffffff,28.47706,77.26838,72.5,479.5,312.0,208.5,107.0,118.0
873da1009ffffff,28.48603,77.29233,73.5,474.5,315.5,210.0,98.5,109.5
873da100affffff,28.45534,77.2652,73.5,472.5,319.0,208.5,92.5,125.5
873da100bffffff,28.4643,77.28914,74.5,470.0,326.5,203.5,100.5,122.5
873da100cffffff,28.48983,77.24761,75.0,460.0,333.0,207.0,114.5,107.5
873da100dffffff,28.49879,77.27157,75.5,480.0,314.5,205.5,101.5,103.5
873da100effffff,28.4681,77.24444,75.5,449.0,339.0,212.5,94.0,106.0
873da1020ffffff,28.51912,77.1613,76.5,491.5,289.0,220.0,83.0,90.5
873da1021ffffff,28.52811,77.18526,76.5,518.0,296.5,186.0,95.5,88.5
873da1022ffffff,28.49738,77.15815,74.5,481.5,306.0,212.5,76.0,91.5
873da1024ffffff,28.53187,77.1405,77.0,500.0,278.5,222.0,66.5,88.0
873da1025ffffff,28.54086,77.16445,76.5,489.5,297.5,213.0,100.5,87.5
873da1026ffffff,28.51013,77.13735,76.5,471.5,283.5,245.0,81.5,88.5
