# INERT PLACEHOLDER - no free historical traffic source. Flat value, MCDA weight 0.
zone,lat,lon,month,traffic
873da1000ffffff,28.47188,77.19972,0,50.0
873da1000ffffff,28.47188,77.19972,1,50.0
873da1000ffffff,28.47188,77.19972,2,50.0
873da1000ffffff,28.47188,77.19972,3,50.0
873da1000ffffff,28.47188,77.19972,4,50.0
873da1000ffffff,28.47188,77.19972,5,50.0
873da1000ffffff,28.47188,77.19972,6,50.0
873da1000ffffff,28.47188,77.19972,7,50.0
873da1000ffffff,28.47188,77.19972,8,50.0
873da1000ffffff,28.47188,77.19972,9,50.0
873da1000ffffff,28.47188,77.19972,10,50.0
873da1000ffffff,28.47188,77.19972,11,50.0
873da1000ffffff,28.47188,77.19972,12,50.0
873da1000ffffff,28.47188,77.19972,13,50.0
873da1000ffffff,28.47188,77.19972,14,50.0
873da1000ffffff,28.47188,77.19972,15,50.0
873da1000ffffff,28.47188,77.19972,16,50.0
873da1000ffffff,28.47188,77.19972,17,50.0
873da1000ffffff,28.47188,77.19972,18,50.0
873da1000ffffff,28.47188,77.19972,19,50.0
873da1000ffffff,28.47188,77.19972,20,50.0
873da1000ffffff,28.47188,77.19972,21,50.0
873da1000ffffff,28.47188,77.19972,22,50.0
873da1000ffffff,28.47188,77.19972,23,50.0
873da1000ffffff,28.47188,77.19972,24,50.0
873da1000ffffff,28.47188,77.19972,25,50.0
873da1000ffffff,28.47188,77.19972,26,50.0
873da1000ffffff,28.47188,77.19972,27,50.0
873da1000ffffff,28.47188,77.19972,28,50.0
873da1000ffffff,28.47188,77.19972,29,50.0
873da1000ffffff,28.47188,77.19972,30,50.0
873da1000ffffff,28.47188,77.19972,31,50.0
873da1000ffffff,28.47188,77.19972,32,50.0
873da1000ffffff,28.47188,77.19972,33,50.0
873da1000ffffff,28.47188,77.19972,34,50.0
873da1000ffffff,28.47188,77.19972,35,50.0
873da1000ffffff,28.47188,77.19972,36,50.0
873da1000ffffff,28.47188,77.19972,37,50.0
873da1000ffffff,28.47188,77.19972,38,50.0
873da1000ffffff,28.47188,77.19972,39,50.0
873da1000ffffff,28.47188,77.19972,40,50.0
873da1000ffffff,28.47188,77.19972,41,50.0
873da1001ffffff,28.48085,77.22367,0,50.0
873da1001ffffff,28.48085,77.22367,1,50.0
873da1001ffffff,28.48085,77.22367,2,50.0
873da1001ffffff,28.48085,77.22367,3,50.0
873da1001ffffff,28.48085,77.22367,4,50.0
873da1001ffffff,28.48085,77.22367,5,50.0
873da1001ffffff,28.48085,77.22367,6,50.0
873da1001ffffff,28.48085,77.22367,7,50.0
873da1001ffffff,28.48085,77.22367,8,50.0
873da1001ffffff,28.48085,77.22367,9,50.0
873da1001ffffff,28.48085,77.22367,10,50.0
873da1001ffffff,28.48085,77.22367,11,50.0
873da1001ffffff,28.48085,77.22367,12,50.0
873da1001ffffff,28.48085,77.22367,13,50.0
873da1001ffffff,28.48085,77.22367,14,50.0
873da1001ffffff,28.48085,77.22367,15,50.0
873da1001ffffff,28.48085,77.22367,16,50.0
873da1001ffffff,28.48085,77.22367,17,50.0
873da1001ffffff,28.48085,77.22367,18,50.0
873da1001ffffff,28.48085,77.22367,19,50.0
873da1001ffffff,28.48085,77.22367,20,50.0
873da1001ffffff,28.48085,77.22367,21,50.0
873da1001ffffff,28.48085,77.22367,22,50.0
873da1001ffffff,28.48085,77.22367,23,50.0
873da1001ffffff,28.48085,77.22367,24,50.0
873da1001ffffff,28.48085,77.22367,25,50.0
873da1001ffffff,28.48085,77.22367,26,50.0
873da1001ffffff,28.48085,77.22367,27,50.0
873da1001ffffff,28.48085,77.22367,28,50.0
873da1001ffffff,28.48085,77.22367,29,50.0
873da1001ffffff,28.48085,77.22367,30,50.0
873da1001ffffff,28.48085,77.22367,31,50.0
873da1001ffffff,28.48085,77.22367,32,50.0
873da1001ffffff,28.48085,77.22367,33,50.0
873da1001ffffff,28.48085,77.22367,34,50.0
873da1001ffffff,28.48085,77.22367,35,50.0
873da1001ffffff,28.48085,77.22367,36,50.0
873da1001ffffff,28.48085,77.22367,37,50.0
873da1001ffffff,28.48085,77.22367,38,50.0
873da1001ffffff,28.48085,77.22367,39,50.0
873da1001ffffff,28.48085,77.22367,40,50.0
873da1001ffffff,28.48085,77.22367,41,50.0
873da1002ffffff,28.45015,77.19656,0,50.0
873da1002ffffff,28.45015,77.19656,1,50.0
873da1002ffffff,28.45015,77.19656,2,50.0
873da1002ffffff,28.45015,77.19656,3,50.0
873da1002ffffff,28.45015,77.19656,4,50.0
873da1002ffffff,28.45015,77.19656,5,50.0
873da1002ffffff,28.45015,77.19656,6,50.0
873da1002ffffff,28.45015,77.19656,7,50.0
873da1002ffffff,28.45015,77.19656,8,50.0
873da1002ffffff,28.45015,77.19656,9,50.0
873da1002ffffff,28.45015,77.19656,10,50.0
873da1002ffffff,28.45015,77.19656,11,50.0
873da1002ffffff,28.45015,77.19656,12,50.0
873da1002ffffff,28.45015,77.19656,13,50.0
873da1002ffffff,28.45015,77.19656,14,50.0
873da1002ffffff,28.45015,77.19656,15,50.0
873da1002ffffff,28.45015,77.19656,16,50.0
873da1002ffffff,28.45015,77.19656,17,50.0
873da1002ffffff,28.45015,77.19656,18,50.0
873da1002ffffff,28.45015,77.19656,19,50.0
873da1002ffffff,28.45015,77.19656,20,50.0
873da1002ffffff,28.45015,77.19656,21,50.0
873da1002ffffff,28.45015,77.19656,22,50.0
873da1002ffffff,28.45015,77.19656,23,50.0
873da1002ffffff,28.45015,77.19656,24,50.0
873da1002ffffff,28.45015,77.19656,25,50.0
873da1002ffffff,28.45015,77.19656,26,50.0
873da1002ffffff,28.45015,77.19656,27,50.0
873da1002ffffff,28.45015,77.19656,28,50.0
873da1002ffffff,28.45015,77.19656,29,50.0
873da1002ffffff,28.45015,77.19656,30,50.0
873da1002ffffff,28.45015,77.19656,31,50.0
873da1002ffffff,28.45015,77.19656,32,50.0
873da1002ffffff,28.45015,77.19656,33,50.0
873da1002ffffff,28.45015,77.19656,34,50.0
873da1002ffffff,28.45015,77.19656,35,50.0
873da1002ffffff,28.45015,77.19656,36,50.0
873da1002ffffff,28.45015,77.19656,37,50.0
873da1002ffffff,28.45015,77.19656,38,50.0
873da1002ffffff,28.45015,77.19656,39,50.0
873da1002ffffff,28.45015,77.19656,40,50.0
873da1002ffffff,28.45015,77.19656,41,50.0
873da1003ffffff,28.45913,77.22050,0,50.0
873da1003ffffff,28.45913,77.22050,1,50.0
873da1003ffffff,28.45913,77.22050,2,50.0
873da1003ffffff,28.45913,77.22050,3,50.0
873da1003ffffff,28.45913,77.22050,4,50.0
873da1003ffffff,28.45913,77.22050,5,50.0
873da1003ffffff,28.45913,77.22050,6,50.0
873da1003ffffff,28.45913,77.22050,7,50.0
873da1003ffffff,28.45913,77.22050,8,50.0
873da1003ffffff,28.45913,77.22050,9,50.0
873da1003ffffff,28.45913,77.22050,10,50.0
873da1003ffffff,28.45913,77.22050,11,50.0
873da1003ffffff,28.45913,77.22050,12,50.0
873da1003ffffff,28.45913,77.22050,13,50.0
873da1003ffffff,28.45913,77.22050,14,50.0
873da1003ffffff,28.45913,77.22050,15,50.0
873da1003ffffff,28.45913,77.22050,16,50.0
873da1003ffffff,28.45913,77.22050,17,50.0
873da1003ffffff,28.45913,77.22050,18,50.0
873da1003ffffff,28.45913,77.22050,19,50.0
873da1003ffffff,28.45913,77.22050,20,50.0
873da1003ffffff,28.45913,77.22050,21,50.0
873da1003ffffff,28.45913,77.22050,22,50.0
873da1003ffffff,28.45913,77.22050,23,50.0
873da1003ffffff,28.45913,77.22050,24,50.0
873da1003ffffff,28.45913,77.22050,25,50.0
873da1003ffffff,28.45913,77.22050,26,50.0
873da1003ffffff,28.45913,77.22050,27,50.0
873da1003ffffff,28.45913,77.22050,28,50.0
873da1003ffffff,28.45913,77.22050,29,50.0
873da1003ffffff,28.45913,77.22050,30,50.0
873da1003ffffff,28.45913,77.22050,31,50.0
873da1003ffffff,28.45913,77.22050,32,50.0
873da1003ffffff,28.45913,77.22050,33,50.0
873da1003ffffff,28.45913,77.22050,34,50.0
873da1003ffffff,28.45913,77.22050,35,50.0
873da1003ffffff,28.45913,77.22050,36,50.0
873da1003ffffff,28.45913,77.22050,37,50.0
873da1003ffffff,28.45913,77.22050,38,50.0
873da1003ffffff,28.45913,77.22050,39,50.0
873da1003ffffff,28.45913,77.22050,40,50.0
873da1003ffffff,28.45913,77.22050,41,50.0
873da1004ffffff,28.48463,77.17894,0,50.0
873da1004ffffff,28.48463,77.17894,1,50.0
873da1004ffffff,28.48463,77.17894,2,50.0
873da1004ffffff,28.48463,77.17894,3,50.0
873da1004ffffff,28.48463,77.17894,4,50.0
873da1004ffffff,28.48463,77.17894,5,50.0
873da1004ffffff,28.48463,77.17894,6,50.0
873da1004ffffff,28.48463,77.17894,7,50.0
873da1004ffffff,28.48463,77.17894,8,50.0
873da1004ffffff,28.48463,77.17894,9,50.0
873da1004ffffff,28.48463,77.17894,10,50.0
873da1004ffffff,28.48463,77.17894,11,50.0
873da1004ffffff,28.48463,77.17894,12,50.0
873da1004ffffff,28.48463,77.17894,13,50.0
873da1004ffffff,28.48463,77.17894,14,50.0
873da1004ffffff,28.48463,77.17894,15,50.0
873da1004ffffff,28.48463,77.17894,16,50.0
873da1004ffffff,28.48463,77.17894,17,50.0
873da1004ffffff,28.48463,77.17894,18,50.0
873da1004ffffff,28.48463,77.17894,19,50.0
873da1004ffffff,28.48463,77.17894,20,50.0
873da1004ffffff,28.48463,77.17894,21,50.0
873da1004ffffff,28.48463,77.17894,22,50.0
873da1004ffffff,28.48463,77.17894,23,50.0
873da1004ffffff,28.48463,77.17894,24,50.0
873da1004ffffff,28.48463,77.17894,25,50.0
873da1004ffffff,28.48463,77.17894,26,50.0
873da1004ffffff,28.48463,77.17894,27,50.0
873da1004ffffff,28.48463,77.17894,28,50.0
873da1004ffffff,28.48463,77.17894,29,50.0
873da1004ffffff,28.48463,77.17894,30,50.0
873da1004ffffff,28.48463,77.17894,31,50.0
873da1004ffffff,28.48463,77.17894,32,50.0
873da1004ffffff,28.48463,77.17894,33,50.0
873da1004ffffff,28.48463,77.17894,34,50.0
873da1004ffffff,28.48463,77.17894,35,50.0
873da1004ffffff,28.48463,77.17894,36,50.0
873da1004ffffff,28.48463,77.17894,37,50.0
873da1004ffffff,28.48463,77.17894,38,50.0
873da1004ffffff,28.48463,77.17894,39,50.0
873da1004ffffff,28.48463,77.17894,40,50.0
873da1004ffffff,28.48463,77.17894,41,50.0
873da1005ffffff,28.49361,77.20289,0,50.0
873da1005ffffff,28.49361,77.20289,1,50.0
873da1005ffffff,28.49361,77.20289,2,50.0
873da1005ffffff,28.49361,77.20289,3,50.0
